0:00:00 :  okay start we've done the part right we've done the part already so Nancy
1:30:31.160000 :  More female students leaving between coming in and graduating.
1:30:36.160000 :  That is a concern for us, in part because we lose something in our philosophical community.
1:30:41.160000 :  I talked about that imaginary or real female student who after first or second year says, you know what, philosophy is not for me.
1:30:48.160000 :  Actually philosophy was for her, but she did not have the kind of role model or she did not have the kind of culture that helped her see that.
1:30:56.160000 :  So we lost that person from our philosophical community.
1:31:00.160000 :  We lost what she had to contribute to philosophy just because of sociological factors of the makeup of the department and historical factors.
1:31:09.160000 :  That are not really essential to what she wanted to do and what she had to contribute to philosophy.
1:31:15.160000 :  So to think that we are losing great students who maybe really do belong in philosophy because they do not see the kind of role models or they do not see the kind of culture here that makes them feel like they belong is a huge loss for us.
1:31:39.160000 :  Maybe we can proceed to this one.
1:31:49.160000 :  How much longer do you think the interview will last?
1:31:54.160000 :  There are other things I will need to attend to today web wise.
1:31:58.160000 :  It is okay we can still continue, but I would not be able to continue until four.
1:32:03.160000 :  Do you think we can finish in ten minutes or fifteen minutes?
1:32:07.160000 :  I think that is possible.
1:32:10.160000 :  You mentioned something about curriculum. Why do we teach feminism related courses?
1:32:19.160000 :  We should, right?
1:32:23.160000 :  One of the reasons is that no department can do everything. Let us begin with that.
1:32:30.160000 :  Any department that wants to stand out needs to have specific strengths.
1:32:35.160000 :  So if you do everything you end up doing nothing.
1:32:39.160000 :  So our strengths are three strengths. Chinese, Anglo-American, Continent. This is what we focus.
1:32:46.160000 :  The courses that we teach relate to the expertise of the faculty members.
1:32:52.160000 :  So it would be very good for us to hire new faculty members who would be able to offer such a course.
1:33:02.160000 :  It would be very good in light of the problems that you are bringing up.
1:33:08.160000 :  But like everywhere else, what departments teach depends on their strengths.
1:33:14.160000 :  We are remarkably diverse in a different regard.
1:33:20.160000 :  When it comes to a department that would have strengths in Chinese, Anglo-American, and Continent, it is so difficult to find out.
1:33:29.160000 :  When it comes to faculty members from so many different corners of the globe, it is also difficult to find out.
1:33:36.160000 :  So we are diverse in a different sense.
1:33:40.160000 :  But in this sense, we need to...
1:33:44.160000 :  This is something that is incredibly distinctive of our department.
1:33:48.160000 :  And I think it singles us out in world philosophy as something very special about us.
1:33:53.160000 :  That is not to say that teaching feminism is not important.
1:33:56.160000 :  We need to find a way to incorporate that into our curriculum.
1:34:00.160000 :  And we are working on that.
1:34:02.160000 :  But we don't want to lose what is distinctive and makes us unique in world philosophy about this department.
1:34:07.160000 :  So as you can see, there are just a lot of constraints that we have to work with when we adjust faculty and adjust curriculum.
1:34:15.160000 :  Maybe another thing to add with regard to this question as well as other comments.
1:34:20.160000 :  One of the interviews had a lot to say about Professor Colombetti's class.
1:34:24.160000 :  So we are in very close touch with Professor Colombetti, which is a department for conference theater that we co-organize together.
1:34:33.160000 :  We are looking into possibilities to establish a dual degree program with Exeter,
1:34:39.160000 :  which would enable students to spend a few years studying in Hong Kong, a few years in Exeter.
1:34:45.160000 :  It would enable them to graduate with both degrees.
1:34:48.160000 :  And one of the reasons for that is that both departments complement each other in very significant ways.
1:34:54.160000 :  So say courses on feminism would be something that they would definitely be able to take there.
1:35:00.160000 :  Because they have a number of colleagues who are qualified to do that.
1:35:05.160000 :  For courses in Chinese philosophy, also in a lot of continental philosophy, also in history philosophy, something that they don't do.
1:35:11.160000 :  So for students from both sides that would be very good.
1:35:14.160000 :  So that's another. So as you see, we are pursuing a number of steps.
1:35:17.160000 :  That is important, but not enough.
1:35:20.160000 :  What we need is a permanent colleague who will be able to do that.
1:35:24.160000 :  Thank you.
1:35:28.160000 :  So why does the department only provide a few courses that cover contemporary philosophy and new to disciplinary training in both of the courses?
1:35:40.160000 :  Again, the answer is the same as I mentioned earlier.
1:35:44.160000 :  That much has to do with faculty's expertise.
1:35:49.160000 :  But here is what happens every single year.
1:35:51.160000 :  Every single year we send out a questionnaire, the students asking them what courses they would like the department to offer.
1:36:00.160000 :  And the students fill out the forms and give us the answer.
1:36:05.160000 :  I can tell you that when it comes to those courses that most of the students want us to offer, this is a priority for us.
1:36:13.160000 :  And when it comes to course planning, we make sure that we offer these courses.
1:36:17.160000 :  So we do take the students' views into account.
1:36:21.160000 :  But otherwise, well again, it has to do with the expertise of the department, like anywhere else.
1:36:28.160000 :  No department can do everything.
1:36:30.160000 :  The department will do what its faculty is specializing in, or some more general courses.
1:36:38.160000 :  In general, at the university level, there is a push for more multidisciplinary courses.
1:36:44.160000 :  So I think the department will see more of these possibilities at the faculty level.
1:36:52.160000 :  Have you heard expressed an interest from students in more multidisciplinary courses specifically?
1:36:59.160000 :  I've heard from Gangnam.
1:37:03.160000 :  From our interviews, she spoke to us about the ideas that thought being taught in the current philosophy curriculum does not resonate with her a lot.
1:37:31.160000 :  Rather, some other philosophers, some people might not consider them philosophers, but she resonates with their thoughts more.
1:37:42.160000 :  And she wanted to have more exposure to those philosophical thoughts that maybe some philosophy students think are not as pure as, say, epistemology, metaphysics, and stuff like that.
1:38:09.160000 :  So just tapping into the multidisciplinary part, perhaps things that are more related to sociology, anthropology, things like that.
1:38:24.160000 :  So on some occasions, faculty members have co-taught courses for the other faculty members.
1:38:32.160000 :  I'm thinking especially of Professor Moss, who has co-taught a course from a colleague from the music department.
1:38:39.160000 :  So again, when there are interests, then you have these kinds of multidisciplinary courses offered usually at the faculty level.
1:38:47.160000 :  Because each department has its own curriculum, and we do want you to graduate with a solid understanding of philosophy.
1:38:56.160000 :  This is in fact our responsibility.
1:38:59.160000 :  We hope that you stand out when compared to many others because of the philosophical education, and that's what we want to pride you with.
1:39:08.160000 :  But at the university level, let us say there are different channels for courses at the borderline, as you mentioned, courses that some say are not, texts that are not written by philosophers.
1:39:25.160000 :  Anything you want to add?
1:39:28.160000 :  We will still ask these questions.
1:39:32.160000 :  Some have argued that philosophy in itself, or most of the philosophers, tend to deny the reliability of individual experience.
1:39:39.160000 :  Could you say that again?
1:39:42.160000 :  Some have argued that philosophy in itself, or most of the philosophers, tend to deny the reliability of individual experience. What do you think?
1:39:51.160000 :  That's a philosophical question.
1:39:56.160000 :  Experience is actually of great interest to me.
1:40:00.160000 :  You pose the question to two phenomenologists.
1:40:04.160000 :  You pose it to two others in the department, you might get a different answer.
1:40:08.160000 :  So for instance, it's a very important philosophical question. It falls usually under the heading of individuation.
1:40:18.160000 :  How does the process of individuation take place?
1:40:22.160000 :  How do we become who we are?
1:40:26.160000 :  Through what process? Clearly there must be objective factors, there must be also subjective factors.
1:40:33.160000 :  So to use a basic example, you know, you take, you know, okay, the three of you are in the same room right now.
1:40:41.160000 :  So you are in the same situation. You are asking questions that relate to the integrals and so forth.
1:40:47.160000 :  But subjectively, it's all very different.
1:40:49.160000 :  So to account for a situation, you need to take into account the individual nature of experience.
1:40:57.160000 :  Now what you will come in literature, for instance, are unbelievable descriptions of the individuality of experience.
1:41:04.160000 :  Also in psychology, also in cognitive science.
1:41:08.160000 :  In much of philosophy, what is at stake is, you know, or in phenomenology, the interest is to, you know, the question is,
1:41:14.160000 :  can we recognize and can we present the fundamental structures or the fundamental development through which the individual becomes who he or she is?
1:41:28.160000 :  So that's a very important philosophical question.
1:41:31.160000 :  And philosophy itself has particular methods to address it alongside all other disciplines.
1:41:37.160000 :  And that's where multidisciplinary becomes very interesting, right?
1:41:40.160000 :  Because then you can bring the two together.
1:41:43.160000 :  The reason why I asked that question, because one of our interviewees has said, because philosophers like to propose some universal claims to represent all humans.
1:41:58.160000 :  But actually each person's experience is different.
1:42:02.160000 :  But if philosophers don't look at individual's experience, then they will just generalize something.
1:42:11.160000 :  Yeah, very good, very good. So I hope the student is bringing up these issues in class.
1:42:16.160000 :  That's very important.
1:42:18.160000 :  And you mentioned three terms, universality, generality, individuality.
1:42:22.160000 :  So at what point philosophers say they want to establish universal claims?
1:42:27.160000 :  Now as soon as, say, the student or anybody else succeeds at demonstrating that there is an exception that clearly brings up the question there, universal pretension,
1:42:37.160000 :  it has to be rethought.
1:42:41.160000 :  Now these count examples can come either from our experiences or also from fiction.
1:42:50.160000 :  Here imagination also can play a very important role.
1:42:53.160000 :  So I hope the student is bringing those questions up, because this is of crucial importance for philosophy.
1:42:58.160000 :  It's only by raising questions of individuality that philosophy can make a serious claim to universality.
1:43:04.160000 :  And if it figures out that various individual experiences force us to rethink the universal claims,
1:43:12.160000 :  then you end up with various conceptions of universality, say the concrete universe,
1:43:18.160000 :  where a universe often changes over time by taking the individuality into account.
1:43:23.160000 :  So it's very, to my mind, fascinating and interesting and important, philosophy.
1:43:28.160000 :  Something that philosophy does take into account and has to and definitely has to.
1:43:35.160000 :  Anything you want to add?
1:43:38.160000 :  I have nothing more to add.
1:43:41.160000 :  Okay.
1:43:43.160000 :  So I guess...
1:43:45.160000 :  Okay, so very good.
1:43:47.160000 :  Yeah.
1:43:50.160000 :  Like I said, you guys are collaborators in this.
1:43:53.160000 :  You're aware of an issue that we are also aware of, and we have different perspectives on it,
1:43:58.160000 :  and I hope that we can work together, share information and resources to make genuine headway on a problem,
1:44:05.160000 :  rather than just report on it and talk about it.
1:44:08.160000 :  Ultimately, we hope that some change will issue from the investigations.
1:44:13.160000 :  So keep in contact.
1:44:16.160000 :  My door is always open, and I hope we'll see each other again.
1:44:19.160000 :  Keep in contact.
1:44:21.160000 :  My door is always open, and I hope we can work so that some genuine change and improvement will come about from this.
1:44:29.160000 :  I can only agree with that.
1:44:31.160000 :  Let's work on this together.
1:44:33.160000 :  It's even good to hear a number of your questions.
1:44:35.160000 :  It's good for us because about some issues we had no idea before.
1:44:40.160000 :  So in many regards, it's through you that we will find out about the problem.
1:44:44.160000 :  And not only that, I don't want to limit it to this, but I would very much like all of us, the students and the students,
1:44:53.160000 :  to work together on possible solutions.
1:44:55.160000 :  Let's consider various options and see what that leads us to.
1:45:01.160000 :  Yeah, you can definitely pass that information on.
1:45:04.160000 :  Please. Thank you.
1:45:06.160000 :  So stay tuned as things are developing on our side.
1:45:09.160000 :  We've got a couple of initiatives that we'll be pushing in this direction.
1:45:11.160000 :  That's very much just in the works right now, but we'll keep you guys up to speed.
1:45:17.160000 :  Please consider being part of the Reformed Philosophy Society as that takes on a new shape.
1:45:23.160000 :  And again, beyond just reporting on what's going on in the culture, that's a place where you guys can genuinely play a role in forming a new culture.
1:45:32.160000 :  You certainly can.
1:45:34.160000 :  So please consider being part of that.
1:45:36.160000 :  Okay.
1:45:38.160000 :  Okay.
1:45:40.160000 :  Do you like to be part of the study?
1:45:45.160000 :  We will write an article based on this interview.
1:45:49.160000 :  How do you want us to address you?
1:45:53.160000 :  How do you want us to call you?
1:45:56.160000 :  You can call me any way you want to call me.
1:45:59.160000 :  All is fine.
1:46:00.160000 :  Is it okay to use your real name?
1:46:04.160000 :  Yeah.
1:46:06.160000 :  Is it fine for us to call you Sally?
1:46:10.160000 :  You can call me Saulus.
1:46:12.160000 :  Yes, you can call me Saulus.
1:46:16.160000 :  It would be good if you also floated a draft of the interview ahead of time.
1:46:21.160000 :  It would be good if you also floated a draft of the interview ahead of time.
1:46:31.160000 :  So if you shared a draft of the interview with us.
1:46:38.160000 :  Because they know I say no, no, no, actually I was trying to say something different.
1:46:43.160000 :  Do you want the transcript of the interview or the draft?
1:46:48.160000 :  That would be helpful, I think. At the end of the day the interview will be better.
1:46:51.160000 :  Do you have a plan to publish?
1:46:53.160000 :  Of course we don't want to censor you or anything.
1:46:56.160000 :  But consider that I think we've been very generous in our time and speaking just very freely with you guys.
1:47:02.160000 :  And we would hope in exchange for that that you would give a fair representation of what you've said.
1:47:08.160000 :  And also that if there was anything that upon seeing it in print we said like,
1:47:13.160000 :  oh that's really not what we were trying to say or that feels like it misrepresents us a little bit.
1:47:17.160000 :  We would hope that as part of journalistic responsibility you would not want to misrepresent us.
1:47:24.160000 :  Of course.
1:47:26.160000 :  Also we find out it's like, oh I said something that is confidential, right?
1:47:30.160000 :  I shouldn't be saying that. I don't think that has happened.
1:47:33.160000 :  But if that happens, right, to avoid these kind of things.
1:47:36.160000 :  In the spirit of collaboration we've been very open and spoken very frankly with you guys.
1:47:41.160000 :  It would be generous if in return you would let us have a look at what you've said.
1:47:45.160000 :  We would appreciate that.
1:47:47.160000 :  We would appreciate that.
1:47:49.160000 :  We will send you the draft of our article and to get your consent and advice.
1:47:54.160000 :  Okay.
1:47:56.160000 :  Okay. Okay. Let's finish here.
